"filename", "language", "YAML", "Dart", "HTML", "Markdown", "JSON", "C++", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 4, 10
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 5, 14
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 13, 65
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7, 10, 40
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 11, 43
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\run_loop.cpp", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 9, 67
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\run_loop.h", "C++", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 7, 12, 41
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 2, 10, 65
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 15, 48, 246
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 24, 795, 26, 18, 184, 484, 125, 12, 8, 81, 268, 348, 2373
